epoch,train_loss,train_acc,val_acc,val_auc,timestamp
1,0.8535011410713196,0.4444444444444444,0.5555555555555556,0.35,2025-07-31T09:59:39.437875
2,0.589851975440979,0.7777777777777778,0.5555555555555556,0.35,2025-07-31T09:59:40.058758
3,0.7982169985771179,0.3333333333333333,0.4444444444444444,0.55,2025-07-31T09:59:40.731658
4,0.6341624855995178,0.5555555555555556,0.6666666666666666,0.6,2025-07-31T09:59:41.387704
5,0.6659101843833923,0.5555555555555556,0.6666666666666666,0.7,2025-07-31T09:59:41.985376
6,0.7601636648178101,0.3333333333333333,0.6666666666666666,0.75,2025-07-31T09:59:42.589398
7,0.6872518062591553,0.5555555555555556,0.6666666666666666,0.8,2025-07-31T09:59:43.204653
8,0.7158753871917725,0.5555555555555556,0.6666666666666666,0.8,2025-07-31T09:59:43.943913
9,0.6915400624275208,0.5555555555555556,0.6666666666666666,0.75,2025-07-31T09:59:44.578144
10,0.7680738568305969,0.2222222222222222,0.7777777777777778,0.7,2025-07-31T09:59:45.189050
11,0.6527047753334045,0.6666666666666666,0.7777777777777778,0.8,2025-07-31T09:59:45.780706
12,0.7366711497306824,0.3333333333333333,0.7777777777777778,0.85,2025-07-31T09:59:46.429726
13,0.7522657513618469,0.4444444444444444,0.7777777777777778,0.9,2025-07-31T09:59:47.124527
14,0.6299054622650146,0.4444444444444444,0.7777777777777778,0.85,2025-07-31T09:59:47.765930
15,0.7552593946456909,0.2222222222222222,0.7777777777777778,0.85,2025-07-31T09:59:48.365856
16,0.6780229210853577,0.4444444444444444,0.7777777777777778,0.85,2025-07-31T09:59:48.977313
17,0.6820550560951233,0.4444444444444444,0.6666666666666666,0.85,2025-07-31T09:59:49.575314
